life,tv
Don't know,4
Exciting,3
Routine,4
Exciting,1
Exciting,1
Exciting,12
Exciting,2
Routine,2
Routine,2
Exciting,0
Exciting,2
Exciting,2
Routine,1
Don't know,4
Exciting,2
Exciting,2
Routine,3
Dull,20
Routine,3
Exciting,0
Exciting,1
Exciting,2
Routine,6
Exciting,1
Exciting,2
Routine,3
Exciting,1
Exciting,1
Exciting,3
Routine,5
Routine,1
Routine,0
Routine,4
Exciting,7
Routine,2
Exciting,5
Exciting,1
Exciting,1
Exciting,5
Exciting,1
Exciting,5
Routine,1
Routine,3
Routine,8
Routine,4
Exciting,4
Routine,2
Routine,1
Exciting,8
Exciting,3
Routine,4
Routine,2
Routine,1
Exciting,2
Routine,2
Routine,2
Exciting,1
Exciting,2
Exciting,2
Routine,3
Exciting,2
Routine,1
Routine,2
Dull,8
Exciting,2
Routine,2
Routine,2
Exciting,5
Exciting,1
Exciting,1
Routine,2
Exciting,1
Routine,12
Exciting,10
Exciting,4
Exciting,11
Exciting,2
Routine,3
Routine,1
Routine,3
Exciting,8
Exciting,6
Routine,3
Routine,3
Exciting,3
Dull,0
Exciting,1
Exciting,3
Routine,8
Exciting,0
Exciting,2
Routine,1
Routine,2
Routine,3
Routine,1
Exciting,0
Routine,1
Don't know,3
Routine,2
Routine,12
Routine,1
Routine,2
Routine,1
Exciting,1
Routine,2
Routine,3
Exciting,4
Routine,1
Exciting,1
Exciting,1
Routine,2
Routine,12
Routine,2
Exciting,5
Routine,4
Exciting,2
Routine,2
Exciting,3
Exciting,1
Exciting,0
Exciting,0
Exciting,2
Exciting,1
Exciting,1
Routine,3
Routine,4
Exciting,4
Routine,1
Routine,2
Routine,8
Routine,1
Routine,5
Dull,1
Dull,1
Dull,3
Routine,2
Exciting,2
Exciting,7
Dull,6
Exciting,1
Exciting,1
Exciting,1
Routine,2
Exciting,2
Exciting,1
Exciting,2
Exciting,1
Routine,0
Routine,4
Routine,3
Routine,1
Exciting,0
Routine,1
Exciting,5
Routine,3
Routine,4
Exciting,2
Routine,4
Exciting,2
Exciting,2
Routine,5
Routine,1
Exciting,3
Routine,2
Routine,8
Routine,2
Routine,1
Routine,1
Routine,3
Exciting,3
Exciting,0
Routine,3
Exciting,1
Exciting,5
Exciting,1
Routine,7
Exciting,3
Exciting,3
Exciting,3
Exciting,2
Routine,2
Exciting,1
Exciting,2
Routine,1
Routine,4
Exciting,2
Exciting,1
Exciting,2
Exciting,2
Routine,3
Exciting,0
Dull,3
Exciting,2
Exciting,1
Exciting,3
Exciting,1
Routine,5
Routine,15
Routine,3
Routine,4
Exciting,1
Routine,4
Routine,4
Exciting,3
Routine,3
Routine,1
Routine,1
Routine,5
Routine,6
Routine,2
Routine,1
Routine,3
Exciting,3
Routine,2
Exciting,2
Exciting,1
Exciting,1
Exciting,5
Routine,0
Routine,1
Exciting,0
Routine,7
Dull,5
Routine,3
Exciting,4
Exciting,0
Routine,3
Exciting,1
Exciting,1
Exciting,3
Exciting,1
Exciting,1
Exciting,2
Exciting,2
Routine,2
Routine,4
Exciting,1
Exciting,1
Routine,2
Dull,1
Exciting,2
Exciting,2
Exciting,2
Dull,8
Routine,5
Dull,10
Exciting,1
Exciting,1
Exciting,2
Routine,7
Routine,12
Exciting,1
Routine,6
Exciting,3
Routine,1
Exciting,2
Exciting,2
Exciting,4
Routine,4
Exciting,1
Exciting,1
Routine,3
Exciting,3
Routine,3
Routine,2
Exciting,0
Routine,1
Routine,4
Routine,2
Exciting,1
Routine,2
Exciting,1
Routine,3
Exciting,1
Routine,0
Routine,3
Exciting,3
Exciting,1
Exciting,4
Routine,4
Exciting,0
Exciting,2
Exciting,4
Exciting,0
Routine,3
Routine,1
Exciting,2
Routine,3
Routine,2
Routine,5
Routine,2
